City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chimbote,PE,2021-04-17 22:32:49,-9.0853,-78.5783,68.74,82,93,8.14
68,Melfi,IT,2021-04-17 22:32:49,40.9965,15.6514,39.99,35,40,6.91
69,Conakry,GN,2021-04-17 22:32:50,9.538,-13.6773,80.6,89,20,2.3
70,Jardim,BR,2021-04-17 22:32:50,-21.4803,-56.1381,74.57,70,58,1.54
71,Mar Del Plata,AR,2021-04-17 22:30:34,-38.0023,-57.5575,66.99,94,90,6.91
72,Havoysund,NO,2021-04-17 22:32:50,70.9963,24.6622,35.6,87,20,4.61
73,Tahta,EG,2021-04-17 22:32:51,26.7693,31.5021,78.8,21,0,4.61
74,Colac,AU,2021-04-17 22:32:51,-38.3333,143.5833,52.0,1,83,5.01
75,Castro,BR,2021-04-17 22:32:52,-24.7911,-50.0119,59.11,93,63,3.44
76,Bambous Virieux,MU,2021-04-17 22:32:52,-20.3428,57.7575,78.01,94,75,3.44
77,Hami,CN,2021-04-17 22:32:52,42.8,93.45,60.17,18,86,12.41
78,Mananara,MG,2021-04-17 22:32:53,-16.1667,49.7667,74.75,94,82,7.14
79,Kaitangata,NZ,2021-04-17 22:32:53,-46.2817,169.8464,57.0,70,96,4.0
80,Lebedyn,UA,2021-04-17 22:32:53,50.5852,34.4849,41.81,89,98,6.85
81,Katsuura,JP,2021-04-17 22:32:54,35.1333,140.3,63.0,34,87,15.01
82,Clyde River,CA,2021-04-17 22:32:54,70.4692,-68.5914,8.6,78,90,17.27
83,Jerez,GT,2021-04-17 22:32:54,14.1,-89.75,93.2,40,40,4.61
84,Kamenka,RU,2021-04-17 22:32:55,51.3223,42.7678,37.0,94,1,3.67
85,Jamestown,US,2021-04-17 22:31:20,42.097,-79.2353,46.99,70,90,9.22
86,Mana,GF,2021-04-17 22:32:55,5.6592,-53.7767,78.03,80,98,11.9
87,Zhezkazgan,KZ,2021-04-17 22:32:55,47.8043,67.7144,55.02,40,95,3.91
88,Klaksvik,FO,2021-04-17 22:32:56,62.2266,-6.589,46.4,81,100,24.16
89,Bethel,US,2021-04-17 22:32:56,41.3712,-73.414,50.0,62,95,3.69
90,Yellowknife,CA,2021-04-17 22:30:23,62.456,-114.3525,37.0,69,75,6.91
91,Fort Saint James,CA,2021-04-17 22:32:57,54.4333,-124.25,53.01,75,100,3.4
92,Bluff,NZ,2021-04-17 22:32:57,-46.6,168.3333,55.99,81,99,5.99
93,Korla,CN,2021-04-17 22:32:57,41.7597,86.1469,60.44,28,97,10.58
94,Severo-Kurilsk,RU,2021-04-17 22:32:58,50.6789,156.125,37.9,63,100,6.29
95,Vilyuysk,RU,2021-04-17 22:32:58,63.7553,121.6247,12.54,91,100,13.27
96,Hithadhoo,MV,2021-04-17 22:32:59,-0.6,73.0833,81.88,62,25,4.52
97,Ribeira Grande,PT,2021-04-17 22:32:59,38.5167,-28.7,62.26,91,45,13.22
98,Cedar City,US,2021-04-17 22:28:31,37.6775,-113.0619,51.01,27,90,17.27
99,Pulandian,CN,2021-04-17 22:32:59,39.3953,121.9669,39.2,65,0,2.24
100,Tessalit,ML,2021-04-17 22:33:00,20.1986,1.0114,85.82,19,87,9.78
101,Longyearbyen,SJ,2021-04-17 22:33:00,78.2186,15.6401,28.4,80,75,20.71
